"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"831367363455045632","","","2017-02-14 05:00:00 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Where 'kaffir' is no insult: `The Kaffirs were originally Muslims, but now they practise a range of faiths from... https://t.co/XAinyDkjKh","","","","http://fb.me/71O78FJLm"
"831276751745490944","","","2017-02-13 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Blasian: `What's In A Name? Blasian: Cultural terms that refer to people of mixed Sub-Saharan African or African... https://t.co/SpTQvdajr3","","","","http://fb.me/1W3OADeHI"
"831216361846222849","","","2017-02-13 18:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","In Search of Pastures New AKA the Poor Man's Burden: `""Say you were unlucky to be born a peasant prior to the... https://t.co/0WI1aYCQ0v","","","","http://fb.me/552yFeeFD"
"831140876835450880","","","2017-02-13 14:00:01 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Quote: `The past actually happened but history is only what someone wrote down. - A. Whitney Brown` https://t.co/rwG9EoIwGy","","","","http://fb.me/tl2nq3fZ"
"831095557028462594","","","2017-02-13 10:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","1 in 10 UK kids are from a mixed-race family: `A new study says 1 in 10 UK children are from a mixed-race family... https://t.co/V33WDVWANx","","","","http://fb.me/6eXJf3VHU"
"830853976677507073","","","2017-02-12 18:59:59 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mixing Through the Ages: Multiculturalism and Assimilation: `.. despite the Portuguese and Spanish colonialists... https://t.co/Bd94mTSaIn","","","","http://fb.me/5LjL7fhVO"
"830778468791091200","","","2017-02-12 13:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Afro-Asian: `What's In A Name? Afro-Asian: Cultural terms that refer to people of mixed Sub-Saharan African or... https://t.co/90juCPG9ZP","","","","http://fb.me/5YI8Qhnke"
"830642595562975232","","","2017-02-12 05:00:02 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Why all humans eventually could look like brazilians: `Meanwhile, many other physical traits will simply blend... https://t.co/5olg7myPZT","","","","http://fb.me/51gRhxqzP"
"830551978963001344","","","2017-02-11 22:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Black. White. Asian. American Indian. Pacific Islander.: `Made up of many different racial combinations, this... https://t.co/apo9cGqCJj","","","","http://fb.me/8cQkkuMCC"
"830416091440611328","","","2017-02-11 13:59:59 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `The MIDS Bookshop displays the latest and best selling books relating to mixed race/heritage... https://t.co/LufjrwR01l","","","","http://fb.me/1EFDgCmnH"
"830370801648033793","","","2017-02-11 11:00:01 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Amerasian: `What's In A Name? Amerasian: Two similar definitions exist but basically a person who has a US... https://t.co/SrBt4fsxWX","","","","http://fb.me/4CPErmMe2"
"830189599456624641","","","2017-02-10 22:59:59 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Quote: `Keep your language. Love its sounds, its modulation, its rhythm. But try to march together with men of... https://t.co/DctseGdWbc","","","","http://fb.me/1dk1xTLyy"
"830129191194546176","","","2017-02-10 18:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Too Black To Be Latino: `It may be that Haitians are regularly excluded from the Latin American world because... https://t.co/hc5cyFJ0Rg","","","","http://fb.me/1MaHMc6mV"
"830008408338231296","","","2017-02-10 11:00:00 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Half-breed: `What's In A Name? Half-breed: Mixed Native American (especially North American) and white European... https://t.co/TWiARfJq5u","","","","http://fb.me/5Pi7BDC4g"
"829827197963796481","","","2017-02-09 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `Feel free to browse the MIDS Book shop. It helps support this project :)  You will be directed to... https://t.co/vijAypiEuY","","","","http://fb.me/1vW0skqql"
"829766805598134272","","","2017-02-09 18:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","The Muslims of Spain: Moors, Moriscos, and Muladies: `To be blunt, the Muslims of Iberia were, for the most part,... https://t.co/Ac1wUtftUJ","","","","http://fb.me/1IrH3GSel"
"829691306557345793","","","2017-02-09 13:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Half-caste: `What's In A Name? Half-caste/Half-cast: A term used to describe people of mixed race or ethnicity... https://t.co/Nn4XdqQECx","","","","http://fb.me/1FuuRAdRj"
"829555430175154177","","","2017-02-09 05:00:01 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","The Assimilados: `The term ‘Assimilado’ was used by the Portuguese colonialists to describe colonial subjects... https://t.co/lKVXJBLR6n","","","","http://fb.me/8MFfMlgeH"
"829464813898235906","","","2017-02-08 22:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","The Burgher Association (Australia): `The Burgher Association (Australia) was founded on 2nd February 1980. The... https://t.co/2PyfdQ776n","","","","http://fb.me/1bPuMq8fG"
"829404414339379200","","","2017-02-08 18:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mixed-blood: `What's In A Name? Mixed-Blood: Sometimes used in place of mixed race. Considered derogatory by... https://t.co/3fNtWlIGLS","","","","http://fb.me/12XTzixc9"
"829328922403753986","","","2017-02-08 13:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","The Forsaken: Portraits of Mixed-Race Orphans in Postwar Korea: `On July 27, 1953, a ceasefire ended open... https://t.co/WRtEav7Esb","","","","http://fb.me/4T9MMlZXQ"
"829250009744994304","","","2017-02-08 08:46:23 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","This is happening all over Africa - not sure all marriages are scams - see my old post about this... https://t.co/LuBdhM9KL3","","","","http://fb.me/12PMiVU32"
"829193043005816833","","","2017-02-08 05:00:01 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Africa: `""The Arab Africans, though, already had quite a history with Europe for example; the Moors occupied the... https://t.co/uko7XIDNjd","","","","http://fb.me/1LfcH2IxG"
"829042048053317632","","","2017-02-07 19:00:01 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Sri Lanka: `The Burghers are the Eurasian ethnic group, the result of the European colonisation of Sri Lanka.... https://t.co/a5qticaakw","","","","http://fb.me/5LNJaiaU5"
"828921225372110849","","","2017-02-07 10:59:55 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `The MIDS Bookshop has books for children asking the eternal mixed race/heritage questions. You... https://t.co/KBPs6o4Rs6","","","","http://fb.me/7zGHfbcmE"
"828901899067867137","","","2017-02-07 09:43:07 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","How very sad - ""At the 2017 African Cup of Nations currently played in Gabon, another type of racism is rearing... https://t.co/jbv2JicTMW","","","","http://fb.me/2GFBgWcnK"
"828830639172546560","","","2017-02-07 04:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","The ANC, the Cape and the 'coloured' question: `The Western Cape has been under the control of the now-defunct... https://t.co/os9tKT8Vzc","","","","http://fb.me/58R0rkLVs"
"828740035562393600","","","2017-02-06 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Dual Heritage: `What's In A Name? Dual Heritage: Politically correct term being used to describe people of two or... https://t.co/BiJSqRVawg","","","","http://fb.me/133DqgRJZ"
"828679642403987456","","","2017-02-06 18:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","A Question of Race: `""One reason for my reader’s objection is that unless we define the lines clearly, we will be... https://t.co/aQQ0haszIV","","","","http://fb.me/7o8ButbLh"
"828558848734687232","","","2017-02-06 10:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Thandie Newton: How do you feel about being mixed-race?: `I was born in England, but we moved to Zambia not long... https://t.co/ByJdnJzl1w","","","","http://fb.me/JL1Fv4yH"
"828317260427251712","","","2017-02-05 18:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Cuba: `Several genetic studies have revealed a much larger percentage of the population having some African... https://t.co/4v4RaSLJ5R","","","","http://fb.me/8bkET15ld"
"828241754218491904","","","2017-02-05 13:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Bi-Racial: `What's In A Name? Bi-Racial: Politically correct term being used to describe people of two or... https://t.co/gOJQRIZkf0","","","","http://fb.me/8of4utJwy"
"828105861910376449","","","2017-02-05 04:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Thandie Newton: Embracing otherness, embracing myself: `Actor Thandie Newton tells the story of finding her... https://t.co/fHeR8OGSAi","","","","http://fb.me/6vJESiy31"
"828015271994650624","","","2017-02-04 22:59:59 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mixed-race, Post-race, and Other Narratives of What it Means to be Mixed in: `In recent years there has been a... https://t.co/9AZFdCEMR3","","","","http://fb.me/5B5d4ROq6"
"827879372413472769","","","2017-02-04 13:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `The MIDS Bookshop displays the latest and best selling books relating to mixed race/heritage... https://t.co/rqS5fohjbC","","","","http://fb.me/8D9gn2Vvt"
"827834063906078720","","","2017-02-04 10:59:55 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mixed Race: `What's In A Name? Mixed Race: Politically correct term being used to describe people of two or... https://t.co/jPaoLPIhiA","","","","http://fb.me/6JbGOrZRJ"
"827823537524191234","","","2017-02-04 10:18:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MixedNation: It's truly sad to see so much hate in 2017! Retweet to show @StateFarm we support this #Multiracial AD! #MixedNation https…","827627475211517952","183151021","2017-02-03 21:19:01 +0000","http://www.superiorbulletin.com/hqdo"
"827652886217781248","","","2017-02-03 22:59:59 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Quote: `We're all mixed - in fact we are a soup - of the genetic material of all our ancestors` https://t.co/AnfwGAtcVg","","","","http://fb.me/5IOqE9hDZ"
"827592478337417216","","","2017-02-03 18:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Plaçage: `Plaçage was a recognized extralegal system in French and Spanish slave colonies of North America... https://t.co/SkmtuDlwIn","","","","http://fb.me/3SZXVZulh"
"827471678494093312","","","2017-02-03 10:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mixed Heritage: `What's In A Name? Mixed Heritage: Politically correct term being used to describe people of two... https://t.co/zxqIY4dpSl","","","","http://fb.me/1OvoVZVs1"
"827290495084802049","","","2017-02-02 22:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `Feel free to browse the MIDS Book shop. It helps support this project :)  You will be directed to... https://t.co/VRPvYICM49","","","","http://fb.me/8g3NutBhx"
"827230092443152385","","","2017-02-02 18:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Passing as Black - Racial Identity Work among Biracial Americans: `We further find that how these biracial... https://t.co/FoGnFOtbcO","","","","http://fb.me/3rV7ESsrX"
"827154588885200896","","","2017-02-02 13:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Multi-Ethnic: `What's In A Name? Multi-Ethnic: Politically correct term being used to describe people of two or... https://t.co/MUcFmXfWiy","","","","http://fb.me/KEAGZG9L"
"827018713639612416","","","2017-02-02 05:00:01 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","We Won't All Be Brown: `.. there are some things that are being said by mixed race people that make me... https://t.co/o762iE3dN3","","","","http://fb.me/1bODAO6za"
"826928097014509568","","","2017-02-01 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Who Do You Thing You Are?: `A fascinating way to discover history is through family history (genealogy) stories.... https://t.co/MfSlK3DhtZ","","","","http://fb.me/1c2KXCcm5"
"826867706641031168","","","2017-02-01 18:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Multi-Racial: `What's In A Name? Multi-Racial: Politically correct term being used to describe people of two or... https://t.co/KVeIEfuCxw","","","","http://fb.me/4oxWzgxWO"
"826792206971334656","","","2017-02-01 13:59:57 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","P.B.S. Documentary - Crossing the Line:  Multiracial Comedians: `This documentary analyzes how mixed race... https://t.co/k8OuoVhqY4","","","","http://fb.me/Ac47YM18"
"826656330261864450","","","2017-02-01 05:00:02 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","North America: `The censuses reveal that despite miscegenation or interracial marriage, most notably between... https://t.co/0fV0MV7XEd","","","","http://fb.me/8rosRcSRa"
"826565709169823745","","","2017-01-31 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Zwarte Hollanders: `What's In A Name? Zwarte Hollanders: The mixed descendants of the 3,000 Africans recruited as... https://t.co/oO5au478Ac","","","","http://fb.me/Fkj4Uk89"
"826505318721024001","","","2017-01-31 18:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mixing Through the Ages: Pre History Shenanigans: `""Another debate rages about whether we inter bred with these... https://t.co/CEMvB1Bdym","","","","http://fb.me/4nlTqrlkR"
"826384516826673152","","","2017-01-31 10:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `The MIDS Bookshop has books for children asking the eternal mixed race/heritage questions. You... https://t.co/q29GUwrLMa","","","","http://fb.me/1KG879oiZ"
"826293928093691904","","","2017-01-31 04:59:58 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Ohio Univ. Students to Classmates: 'We're a Culture, Not a Costume': `In short, costumes mocking people of color... https://t.co/RmZPKniEAZ","","","","http://fb.me/187secPEV"
"826203320033226753","","","2017-01-30 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Belanda Hitam: `What's In A Name? Belanda Hitam: The mixed descendants of the 3,000 Africans recruited as... https://t.co/UxxhLuRx7G","","","","http://fb.me/6vVsEOkUe"
